ID,Запрос,Частота,Категория,Область,Топ,Есть Алиса,Текст Алисы,P&G,Конкуренты,Маркетплейсы
1,памперс,850000,brand,diapers,True,True,"
ru.wikipedia.org*
votonia.ru
Detmir.ru
pampers.com
market.yandex.ru",True,False,True
2,pampers,620000,brand,diapers,True,True,"
ru.wikipedia.org*
votonia.ru
Detmir.ru
pampers.com
market.yandex.ru",True,False,True
3,памперс трусики,320000,brand,diapers,True,True,"
apteka.ru
OZON.ru
market.yandex.ru
votonia.ru
Detmir.ru",True,False,True
4,pampers premium care,280000,brand,diapers,True,True,"
megamarket.ru
apteka.ru
gorzdrav.org
goldapple.ru
Detmir.ru",True,False,True
5,памперс active baby,250000,brand,diapers,True,True,"
uteka.ru
Megapteka.ru
market.yandex.ru
cdek.shopping
Detmir.ru",True,False,True
6,huggies,430000,brand,diapers,True,True,"
votonia.ru
Huggies.ru
market.yandex.ru
Detmir.ru
parfum-lider.ru",False,True,True
7,хаггис,210000,brand,diapers,True,True,"
boobl-goom.ru
Huggies.ru
market.yandex.ru
Detmir.ru
parfum-lider.ru",False,True,True
8,libero подгузники,130000,brand,diapers,True,True,"eapteka.ru
sigma-med.ru
market.yandex.ru
votonia.ru
irecommend.ru",False,True,True
9,памперс для новорожденных,190000,brand,diapers,True,True,"
deti.mail.ru
nappyclub.ru
market.yandex.ru
OZON.ru
apteka-april.ru",True,True,True
10,huggies elite soft,170000,brand,diapers,True,True,"zdravcity.ru
rigla.ru
366.ru
apteka.ru
Huggies.ru
market.yandex.ru
megamarket.ru
gorzdrav.org
uteka.ru
Huggies.ru
apteka.ru
zdorov.ru
pharmeconom.ru",False,True,True
11,pampers pants,160000,brand,diapers,True,True,"apteka.ru
zdravcity.ru
votonia.ru
perekrestok.ru
OZON.ru",True,False,True
12,moony подгузники,95000,brand,diapers,True,True,"market.yandex.ru
onlinetrade.ru
votonia.ru
coral-yug.ru
moy-lvenok.ru",False,True,True
13,goon подгузники,87000,brand,diapers,True,True,"eapteka.ru
coral-yug.ru
goondiaper.com
market.yandex.ru
WildBerries.ru",False,True,True
14,merries подгузники,76000,brand,diapers,True,True,"uteka.ru
goldapple.ru
market.yandex.ru
votonia.ru
apteka.ru",False,True,True
15,памперс 3,210000,brand,diapers,True,True,"Detmir.ru
votonia.ru
OZON.ru
cosmetic.magnit.ru
market.yandex.ru",True,False,True
16,подгузники,1200000,category,diapers,True,True,"    lenta.com
    market.yandex.ru
    OZON.ru
    WildBerries.ru
    auchan.ru",True,True,True
17,подгузники для новорожденных,480000,category,diapers,True,True,"deti.mail.ru
OZON.ru
WildBerries.ru
uteka.ru
Detmir.ru",True,True,True
18,подгузники трусики,390000,category,diapers,True,True,"
lenta.com
market.yandex.ru
OZON.ru
perekrestok.ru
online.Globus.ru",False,False,True
19,подгузники 1 размер,280000,category,diapers,True,True,"market.yandex.ru
OZON.ru
WildBerries.ru
goldapple.ru
apteka.ru",True,True,True
20,подгузники 2 размер,240000,category,diapers,True,True,"market.yandex.ru
Detmir.ru
WildBerries.ru
votonia.ru
apteka.ru",True,True,True
21,подгузники 3 размер,210000,category,diapers,True,True,"
market.yandex.ru
OZON.ru
megamarket.ru
votonia.ru
Detmir.ru",False,True,True
22,подгузники ночные,180000,category,diapers,True,True,"
market.yandex.ru
OZON.ru
Detmir.ru
WildBerries.ru
Detmir.ru",True,True,True
23,подгузники на липучках,160000,category,diapers,True,True,"market.yandex.ru
OZON.ru
WildBerries.ru
kidsmax.ru
apteka.ru",False,True,True
24,детские подгузники,150000,category,diapers,True,True,"market.yandex.ru
uteka.ru
gorzdrav.org
lenta.com
WildBerries.ru",True,True,True
25,подгузники трусики для мальчиков,140000,category,diapers,True,True,"Detmir.ru
OZON.ru
market.yandex.ru
WildBerries.ru
lenta.com",True,True,True
26,подгузники трусики для девочек,135000,category,diapers,True,True,"5 источников

    Detmir.ru
    WildBerries.ru
    OZON.ru
    online.Globus.ru
    lenta.com",True,True,True
27,подгузники 4 размер,190000,category,diapers,True,True,"5 источников

    market.yandex.ru
    OZON.ru
    Avito.ru
    WildBerries.ru
    Detmir.ru",True,True,True
28,подгузники 5 размер,170000,category,diapers,True,True,"    OZON.ru
    market.yandex.ru
    WildBerries.ru
    Detmir.ru
    gorzdrav.org",True,True,True
29,подгузники купить,320000,category,diapers,True,True,"    Detmir.ru
    WildBerries.ru
    uteka.ru
    gorzdrav.org
    market.yandex.ru",False,True,True
30,эко подгузники,98000,category,diapers,True,True,"malyish.ru
brandformyson.ru
organicmama.ru
Detmir.ru
OZON.ru",False,True,True
31,pampers или huggies что лучше,95000,comparative,diapers,True,True,"OZON.ru
dzen.ru
irecommend.ru
BabyBlog.ru
kp.ru",True,True,True
32,какие подгузники лучше,87000,comparative,diapers,True,True,"OZON.ru
nutrilak.com
market.yandex.ru
Huggies.ru
stolichki.ru
Megapteka.ru
dtf.ru
deti.mail.ru
BabyBlog.ru
SIMA-LAND.ru
pikabu.ru
kp.ru",True,True,True
33,подгузники трусики или липучки,76000,comparative,diapers,True,True,"proaist.ru
dzen.ru
bolshoyvopros.ru
dino-rhino.ru
yokito.ru",False,False,False
34,huggies или libero сравнение,54000,comparative,diapers,True,True,"irecommend.ru
BabyBlog.ru
forum.baby.ru
otvet.mail.ru
youtube.com*
megamarket.ru
reviews.yandex.ru
onlinetrade.ru
otzovik.com
Detmir.ru
megamarket.ru
WildBerries.ru
catalog.onliner.by
eapteka.ru
irecommend.ru",False,True,True
35,pampers vs libero,43000,comparative,diapers,True,True,"irecommend.ru
BabyBlog.ru
otzovik.com
bolshoyvopros.ru
otvet.mail.ru",True,True,False
36,памперс или хаггис,67000,comparative,diapers,True,True,"OZON.ru
dzen.ru
diffen.com
gorzdrav.org
irecommend.ru
baby.ru
irecommend.ru
Detmir.ru
megamarket.ru
OZON.ru
baby.ru
Detmir.ru
kp.ru
OZON.ru
irecommend.ru",True,True,True
37,huggies или pampers для новорожденных,58000,comparative,diapers,True,True,"dzen.ru
bolshoyvopros.ru
SIMA-LAND.ru
BabyBlog.ru
irecommend.ru
megamarket.ru
onlinetrade.ru
Detmir.ru
apteka.ru
otzovik.com
market.yandex.ru
Detmir.ru
eapteka.ru
megamarket.ru
OZON.ru",True,True,True
38,libero или huggies что лучше,47000,comparative,diapers,True,True,"irecommend.ru
BabyBlog.ru
forum.baby.ru
otvet.mail.ru
MedAboutMe.ru",False,True,False
39,подгузники merries или moony,34000,comparative,diapers,True,True,"irecommend.ru
baby.ru
otzovik.com
BabyBlog.ru
vk.com
megamarket.ru
otzovik.com
dzen.ru
Detmir.ru
reviews.yandex.ru
Detmir.ru
megamarket.ru
otzovik.com",False,True,True
40,pampers active baby или premium care,42000,comparative,diapers,True,True,"otzovik.com
irecommend.ru
forum.baby.ru
BabyBlog.ru
market.yandex.ru",True,False,True
41,huggies elite soft или pampers premium,38000,comparative,diapers,True,True,"irecommend.ru
SIMA-LAND.ru
youtube.com*
yandex.ru
avshop.ru",True,True,False
42,подгузники goon или merries,29000,comparative,diapers,True,True,"napkin.tkat.ru
otzovik.com
dzen.ru
BabyBlog.ru
irecommend.ru
eapteka.ru
reviews.yandex.ru
otzovik.com
megamarket.ru
OZON.ru
baby.ru
megamarket.ru
onlinetrade.ru
otzovik.com
apteka.ru",False,True,True
43,памперс или либеро,51000,comparative,diapers,True,True,"tersportspb.ru
ru.wikipedia.org*
irecommend.ru
ru.wikipedia.org*
votonia.ru
bolshoyvopros.ru
ru.ruwiki.ru
Detmir.ru
BabyBlog.ru
Sportmaster.ru",True,False,True
44,эко подгузники или обычные,32000,comparative,diapers,True,True,"ru.besuperhygiene.com
akusherstvo.ru
malyish.ru
q.yandex.ru
apteka.ru
momlovesbest.com
koshmau.livejournal.com
irecommend.ru
spb.akusherstvo.ru
BabyBlog.ru
Megapteka.ru
MedAboutMe.ru
momlovesbest.com
kp.ru",True,True,True
45,японские подгузники или pampers,27000,comparative,diapers,True,True,"baby.ru
deti.mail.ru
irecommend.ru
OZON.ru
kp.ru
promkod.ru
vc.ru
irecommend.ru
mammysun.ru
otzovik.com
irecommend.ru
Detmir.ru
BabyBlog.ru",True,True,True
46,как выбрать подгузники,120000,advisory,diapers,True,True,"nutrilak.com
stolichki.ru
apteka.ru
akusherstvo.ru
gorzdrav.org
edadeal.ru
vk.com
market.yandex.ru
zakon.kz
MedAboutMe.ru
kp.ru
Megapteka.ru
SIMA-LAND.ru
deti.mail.ru
OZON.ru
Detmir.ru
pikabu.ru
dzen.ru",True,True,True
47,как подобрать размер подгузников,98000,advisory,diapers,True,True,"edadeal.ru
akusherstvo.ru
vk.com
stolichki.ru
comfer.ru
market.yandex.ru
journal.citilink.ru
edadeal.ru
Megapteka.ru
pro-palliativ.ru
dzen.ru",False,False,True
48,какие подгузники лучше для новорожденных,87000,advisory,diapers,True,True,"deti.mail.ru
pikabu.ru
momlovesbest.com
vc.ru
t-j.ru",False,True,False
49,подгузники по весу таблица,76000,advisory,diapers,True,True,"pinkiss.ru
edadeal.ru
akusherstvo.ru
market.yandex.ru
dzen.ru",False,False,False
50,когда переходить с подгузников на трусики,65000,advisory,diapers,True,True,"MedAboutMe.ru
Huggies.ru
NestleBaby.ru
dzen.ru
lovular.ru",False,True,False
51,как понять что подгузник мал,43000,advisory,diapers,True,True,"momirussia.ru
wikihow.com
dzen.ru
otvet.mail.ru
baby.ru
huggies.kg
yokosun.ru
huggies.kg
mag.103.by",False,True,False
52,как правильно надевать подгузник,56000,advisory,diapers,True,True,"lisa.ru
Huggies.ru
dzhmao.ru
nutrilak.com
wikihow.com
momirussia.ru
kabrita.ru
Megapteka.ru
bgbsmp.by
audiomed.ru
wikihow.com
comfer.ru",False,True,False
53,подгузники на ночь какие лучше,48000,advisory,diapers,True,True,"MedAboutMe.ru
deti.mail.ru
dtf.ru
irecommend.ru
Detmir.ru",True,True,False
54,от каких подгузников нет опрелостей,38000,advisory,diapers,True,True,"    gorzdrav.org
    stolichki.ru
    aptechestvo.ru
    panda-babyclub.kz
    deti.mail.ru
    yokosun.ru
    kp.ru
    zdravcity.ru
    vc.ru
    kp.ru
    OZON.ru
    vk.com
    bolshoyvopros.ru",True,True,True
55,как часто менять подгузник новорожденному,72000,advisory,diapers,True,True,"13 источников

    LaRoche-Posay.ru
    kabrita.ru
    GlorYes.ru
    fantasyclinic.ru
    dino-rhino.ru
    baby.ru
    akusherstvo.ru
    nutriclub.ru
    nutrilak.com
    boobl-goom.ru
    stolichki.ru
    smdoctor.ru
    rigla.ru",False,False,False
56,подгузники для чувствительной кожи,54000,advisory,diapers,True,True,"5 источников

    kp.ru
    OZON.ru
    market.yandex.ru
    stolichki.ru
    apteka.ru",False,True,True
57,сколько подгузников нужно в день,67000,advisory,diapers,True,True,"    pinkiss.ru
    mykunder.com
    artemka37.ru
    happybaby.ru
    BabyBlog.ru
    aptechestvo.ru
    kabrita.ru
    GlorYes.ru
    Huggies.ru
    apteka.ru
    diapazon.kz
    liberica.by
    vk.com",False,False,True
58,можно ли постоянно носить подгузники,43000,advisory,diapers,True,True,"    c9m.ru
    cgemo-serpuhov.ru
    cgemo-istra.ru
    sprosivracha.com
    nutrilak.com
    vitaexpress.ru
    medlen.by
    rigla.ru
    ryazan.kp.ru
    uteka.ru
    yokosun.ru
    mag.103.by
    cgemo-serpuhov.ru",False,False,False
59,подгузники при поносе какие,31000,advisory,diapers,True,True,"    nevozrast.ru
    market.yandex.ru
    BabyBlog.ru
    health.mail.ru
    OZON.ru",False,True,True
60,как хранить подгузники,29000,advisory,diapers,True,True,"    homesklad.ru
    journal.citilink.ru
    huggies.kg
    novochag.ru
    t.me*
    lovular.ru
    kz.huggies.com
    BabyBlog.ru
    yarportal.ru
    dzen.ru
    lovular.ru",False,True,True
61,head and shoulders,720000,brand,shampoos,True,True,"
en.wikipedia.org
headandshoulders.com
goldapple.ru
headandshoulders.co.uk
apteka.ru",True,False,True
62,хед энд шолдерс,430000,brand,shampoos,True,True,"
ru.wikipedia.org
headandshoulders.com
goldapple.ru
market.yandex.ru
apteka.ru",False,False,False
63,пантин шампунь,380000,brand,shampoos,True,True,"
goldapple.ru
poryadok.ru
apteka.ru
OZON.ru
market.yandex.ru",False,False,False
64,pantene,320000,brand,shampoos,True,True,"
ru.wikipedia.org
en.wikipedia.org
goldapple.ru
market.yandex.ru
pantene.com",False,True,True
65,herbal essences,280000,brand,shampoos,True,True,"
ru.wikipedia.org
en.wikipedia.org
herbalessences.com
cdek.shopping
WildBerries.ru",True,False,True
66,гербал эссенс шампунь,210000,brand,shampoos,True,True,"
OZON.ru
market.yandex.ru
WildBerries.ru
poryadok.ru
megamarket.ru",False,False,False
67,elseve,350000,brand,shampoos,True,True,"goldapple.ru
letu.ru
market.yandex.ru
Loreal-Paris.ru
OZON.ru",False,True,True
68,эльсев шампунь,240000,brand,shampoos,True,True,"
market.yandex.ru
goldapple.ru
rivegauche.ru
agora-market.ru
OZON.ru",False,True,True
69,dove шампунь,310000,brand,shampoos,True,True,"
дав.сайт
market.yandex.ru
OZON.ru
dove.com
cosmetic.magnit.ru",True,True,True
70,clear шампунь,290000,brand,shampoos,True,True,"
randewoo.ru
клиар.рф
market.yandex.ru
Avito.ru
OZON.ru

",False,False,False
71,клир шампунь,180000,brand,shampoos,True,True,"
randewoo.ru
клиар.рф
Avito.ru
OZON.ru
goldapple.ru

",False,False,False
72,loral шампунь,260000,brand,shampoos,True,True,"
OZON.ru
market.yandex.ru
shopozz.ru
usmall.ru
cosmetic.magnit.ru",False,False,False
73,лореаль шампунь,195000,brand,shampoos,True,True,"
market.yandex.ru
rivegauche.ru
PharmaCosmetica.ru
OZON.ru
randewoo.ru",False,True,True
74,syoss шампунь,165000,brand,shampoos,True,True,"syoss.ru
OZON.ru
randewoo.ru
market.yandex.ru
goldapple.ru",False,False,False
75,garnier шампунь,175000,brand,shampoos,True,True,"rivegauche.ru
Garnier.ru
market.yandex.ru
irecommend.ru
megamarket.ru",False,False,False
76,шампунь,2100000,category,shampoos,True,True,"
ru.wikipedia.org
lady.mail.ru
randewoo.ru
market.yandex.ru
OZON.ru",False,False,True
77,шампунь от перхоти,890000,category,shampoos,True,True,"
rth.ru
Megapteka.ru
zdravcity.ru
stolichki.ru
pulsarbonus.ru",False,True,True
78,шампунь для жирных волос,560000,category,shampoos,True,True,"
vc.ru
lady.mail.ru
OZON.ru
kp.ru
market.yandex.ru

",False,True,True
79,шампунь для сухих волос,480000,category,shampoos,True,True,"
lady.mail.ru
kp.ru
Podrygka.ru
WildBerries.ru
OZON.ru",False,False,False
80,шампунь без сульфатов,420000,category,shampoos,True,True,"
aroma-butik.ru
lady.mail.ru
randewoo.ru
goldapple.ru
WildBerries.ru",False,True,True
81,шампунь для окрашенных волос,380000,category,shampoos,True,True,"
lady.mail.ru
hair-market.ru
podrygka.ru
market.yandex.ru
WildBerries.ru",False,False,False
82,шампунь для объема волос,310000,category,shampoos,True,True,"lady.mail.ru
market.yandex.ru
podrygka.ru
goldapple.ru
WildBerries.ru",False,False,False
83,шампунь для выпадения волос,290000,category,shampoos,True,True,"
eapteka.ru
OZON.ru
market.yandex.ru
selencin.ru
biotinal.ru",False,False,False
84,профессиональный шампунь,240000,category,shampoos,True,True,"hair-market.ru
rivegauche.ru
market.yandex.ru
goldapple.ru
aroma-butik.ru",False,False,False
85,натуральный шампунь,210000,category,shampoos,True,True,"
edadeal.ru
stolichki.ru
kp.ru
goldapple.ru
namaj.ru",False,False,True
86,шампунь для мужчин,180000,category,shampoos,True,True,"
lady.mail.ru
vc.ru
OZON.ru
rivegauche.ru
kp.ru",False,False,False
87,шампунь кондиционер,165000,category,shampoos,True,True,"ru.siberianhealth.com
letu.ru
kleona.com
market.yandex.ru
apteka.ru",False,False,False
88,шампунь для тонких волос,210000,category,shampoos,True,True,"
MarieClaire.ru
lady.mail.ru
dzen.ru
OZON.ru
thevoicemag.ru",False,False,False
89,шампунь против выпадения,195000,category,shampoos,True,True,"
eapteka.ru
OZON.ru
market.yandex.ru
selencin.ru
goldapple.ru",False,False,False
90,шампунь детский,230000,category,shampoos,True,True,"deti.mail.ru
market.yandex.ru
OZON.ru
uteka.ru
rivegauche.ru",False,False,False
91,head shoulders или clear что лучше,87000,comparative,shampoos,True,True,"
style-hair-magazine.com
ssl-team.com
kp.ru
skinsignal.ru
otvet.mail.ru",True,True,False
92,шампунь от перхоти какой лучше,76000,comparative,shampoos,True,True,"
vc.ru
rth.ru
Megapteka.ru
nbcnews.com
apteka74.ru
health.mail.ru
stolichki.ru
dtf.ru
vc.ru",True,True,True
93,pantene или elseve сравнение,54000,comparative,shampoos,True,True,"
dzen.ru
bolshoyvopros.ru
otvet.mail.ru
t-j.ru
TheBlueprint.ru
market.yandex.ru
hairmaniac.ru
irecommend.ru
eapteka.ru
scent.ru
randewoo.ru
irecommend.ru
apteka.ru
eapteka.ru
scent.ru
",True,True,True
94,шампунь без сульфатов или обычный,43000,comparative,shampoos,True,True,"Style.RBC.ru
vk.com
vichy.ru
profcosm.com
kosmetika.moscow
forma.eapteka.ru
stolichki.ru
skin.ru
evitastore.ru
sibcirulnik.ru
lianakl.ru
kosmetika-proff.ru
hair.ru
lady.mail.ru
goldapple.ru

",False,False,False
95,dove или pantene что лучше,38000,comparative,shampoos,True,True,"
style-hair-magazine.com
hair-everyday.com
glamourdusk.com
hairmaniac.ru
vk.com
OZON.ru
irecommend.ru
otzovik.com
megamarket.ru
reviews.yandex.ru
megamarket.ru
vk.com
reviews.yandex.ru
otzovik.com
eapteka.ru",False,False,False
96,head and shoulders или nizoral,67000,comparative,shampoos,True,True,"
id-clinic.ru
glamourdusk.com
vk.com
style-hair-magazine.com
nizoral.ru
reviews.yandex.ru
femmenordic.com
otvet.mail.ru
apteka-april.ru
otzovik.com",True,True,True
97,herbal essences или pantene,48000,comparative,shampoos,True,True,"hair-everyday.com
style-hair-magazine.com
otvet.mail.ru
thevoicemag.ru
i-gency.ru
OZON.ru
dzen.ru
lofficiel.directory
irecommend.ru
otzovik.com
megamarket.ru
pokupella.ru
irecommend.ru
bytovaya-himiya.ru
dzen.ru",False,False,False
98,loreal или syoss шампунь,41000,comparative,shampoos,True,True,"
megamarket.ru
boucle-style.com
otvet.mail.ru
otzovik.com
megamarket.ru
kp.ru
reviews.yandex.ru
otzovik.com
irecommend.ru
eapteka.ru",False,True,True
99,clear или head and shoulders,58000,comparative,shampoos,True,True,"
kp.ru
style-hair-magazine.com
ssl-team.com
skinsignal.ru
otvet.mail.ru",True,True,False
100,elseve или garnier шампунь,35000,comparative,shampoos,True,True,"
irecommend.ru
irecommend.ru
rskrf.ru
otzovik.com
megamarket.ru
otvet.mail.ru
megamarket.ru
OZON.ru
irecommend.ru
OZON.ru",False,True,True
101,шампунь с кератином или без,43000,comparative,shampoos,True,True,"
akrasoty.ru
profcosm.com
sergeenko.by
kosmetika-proff.ru
Style.RBC.ru
blog.gkhair.ru
aroma-butik.ru
byrdie.com
GKeratin.ru
irecommend.ru",False,False,False
102,dove или clear шампунь,37000,comparative,shampoos,True,True,"skinsignal.ru
otvet.mail.ru
dzen.ru
megamarket.ru
irecommend.ru
hairmaniac.ru
randewoo.ru
megamarket.ru
WildBerries.ru
letu.ru
megamarket.ru
apteka.ru
randewoo.ru
WildBerries.ru",False,False,False
103,pantene или dove для сухих волос,32000,comparative,shampoos,True,True,"
irecommend.ru
market.yandex.ru
style-hair-magazine.com
OZON.ru
OZON.ru
hair-everyday.com
nn.uteka.ru
goldapple.ru
dzen.ru
apteka-april.ru",True,True,True
104,loral или pantene шампунь,45000,comparative,shampoos,True,True,"
megamarket.ru
market.yandex.ru
style-hair-magazine.com
market.yandex.ru
megamarket.ru
otvet.mail.ru
otzovik.com
otzovik.com
relationshipblog.co.in
irecommend.ru",True,True,True
105,профессиональный или обычный шампунь,38000,comparative,shampoos,True,True,"
cosmall.ru
dzen.ru
kz.amway.com
vk.com
alerana.ru
skin.ru
livemaster.ru
sunmag.me
repeat.ru
ru.wikipedia.org
iris56.ru
mayadioro.ru
kp.ru
salonclever.ru",False,True,False
106,как выбрать шампунь,145000,advisory,shampoos,True,True,"
esteticshop.ru
hairfood.ru
edadeal.ru
lady.mail.ru
skin.ru
dzen.ru
aroma-butik.ru
SIMA-LAND.ru
meitanglobal.com
skin.ru
aif.ru
k-zd.ru
tashe.ru
blog.gkhair.ru
stolichki.ru
foamstore.ru
skin.ru
thevoicemag.ru
hairmaniac.ru
dzen.ru
kp.ru",False,False,False
107,шампунь для жирной кожи головы какой выбрать,112000,advisory,shampoos,True,True,"
vc.ru
lady.mail.ru
kudri-brovi.ru
thevoicemag.ru
vk.com",False,True,False
108,перхоть какой шампунь помогает,98000,advisory,shampoos,True,True,"
uteka.ru
rth.ru
Megapteka.ru
zdravcity.ru
ihc-russia.ru",False,True,True
109,шампунь без сульфатов вред или польза,76000,advisory,shampoos,True,True,"sibcirulnik.ru
repeat.ru
rivegauche.ru
Style.RBC.ru
profcosm.com",False,False,True
110,как часто мыть голову,65000,advisory,shampoos,True,True,"hfe-hfe.ru
lady.mail.ru
championat.com
selencin.ru
dzen.ru
fue-clinic.ru
клиар.рф
clinikadoctordent.com
ihc-russia.ru
lenta.ru
VkusVill.ru
stolichki.ru
woman.ru
Style.RBC.ru

",False,False,True
111,какой шампунь лучше для тонких волос,54000,advisory,shampoos,True,True,"
esteticshop.ru
k-zd.ru
kp.ru
thevoicemag.ru
lady.mail.ru
skin.ru
kudri-brovi.ru
MarieClaire.ru
dzen.ru",False,True,False
112,шампунь для роста волос какой выбрать,87000,advisory,shampoos,True,True,"    LaRoche-Posay.ru
    kabrita.ru
    GlorYes.ru
    fantasyclinic.ru
    dino-rhino.ru
    baby.ru
    akusherstvo.ru
    nutriclub.ru
    nutrilak.com
    boobl-goom.ru
    stolichki.ru
    smdoctor.ru
    rigla.ru",False,False,False
113,как избавиться от перхоти шампунь,76000,advisory,shampoos,True,True,"hc-russia.ru
DoktorVolos.ru
stolichki.ru
Megapteka.ru
ProBolezny.ru",False,False,True
114,шампунь от выпадения волос какой выбрать,65000,advisory,shampoos,True,True,"media.halvacard.ru
vc.ru
lady.mail.ru
goldapple.ru
vc.ru
yapokupayu.ru
sprosivracha.com
dzen.ru
selencin.ru
kp.ru",False,False,False
115,как правильно мыть голову шампунем,54000,advisory,shampoos,True,True,"media.halvacard.ru
VkusVill.ru
Garnier.ru
lenta.ru
lady.mail.ru
lady.mail.ru
selencin.ru
championat.com
vfokuse.mail.ru
Style.RBC.ru
SIMA-LAND.ru
paradpomad.ru
foamstore.ru
stolichki.ru
parikmag-pm.ru
burdastyle.ru
aif.ru
the-challenger.ru
lady.mail.ru
championat.com
ihc-russia.ru",False,False,True
116,шампунь для окрашенных волос как выбрать,48000,advisory,shampoos,True,True,"
lady.mail.ru
letu.ru
vc.ru
esteticshop.ru
kp.ru
sovsekretno.ru
k-zd.ru
kudri-brovi.ru
skin.ru
akrasoty.ru
dtf.ru
esteticshop.ru
irecommend.ru
beautyinsider.ru",False,True,True
117,сухой шампунь как пользоваться,43000,advisory,shampoos,True,True,"
media.halvacard.ru
aromacode.ru
goldapple.ru
stolichki.ru
apteka.ru
beautery.ru
letu.ru
my7days.ru
pro-cosmetik.ru
skin.ru
lady.mail.ru
rigla.ru
fue-clinic.ru
hfe-hfe.ru
news.rambler.ru
irecommend.ru
reviews.yandex.ru
OZON.ru
megamarket.ru
dzen.ru",False,True,True
118,шампунь от перхоти как часто использовать,38000,advisory,shampoos,True,True,"5 источников
otrazhenie-clinic.ru
ihc-russia.ru
ProBolezny.ru
id-clinic.ru
MedAboutMe.ru",False,False,False
119,шампунь для жирных волос как выбрать,67000,advisory,shampoos,True,True,"vc.ru
letu.ru
vk.com
thevoicemag.ru
kp.ru
kudri-brovi.ru
MedAboutMe.ru
lrcgyn.ru
PharmaCosmetica.ru
dtf.ru
lady.mail.ru
irecommend.ru
proficosmetics.ru
Megapteka.ru
skin.ru
stolichki.ru
MarieClaire.ru",False,True,True
120,как подобрать шампунь по типу волос,72000,advisory,shampoos,True,True,"esteticshop.ru
fanebeauty.com
aroma-butik.ru
meitanglobal.com
stolichki.ru
esteticshop.ru
parikmag-pm.ru
hair-boutique.ru
клиар.рф
beautyservice.ru
skin.ru
aif.ru
k-zd.ru
tashe.ru
blog.stud-country.ru
edadeal.ru
bezlekarstv.ru
vc.ru
magazin-kosmetiki-kapriz.ru
MarieClaire.ru
SIMA-LAND.ru
skin.ru",False,False,False
