Сайт,Упоминания,Уникальные запросы,Суммарная частота,Средняя частота,Brand запросы,Category запросы,Comparative запросы,Advisory запросы,Diapers запросы,Shampoos запросы,Упоминания в P&G запросах,Упоминания в конкурентных запросах,Упоминания в marketplace запросах,% от всех упоминаний,% от всех запросов,% от всей частоты,% brand запросов,% category запросов,% comparative запросов,% advisory запросов,% diapers запросов,% shampoos запросов
pinkiss.ru,2,2,143000,71500.0,0,0,0,2,2,0,0,0,1,0.21,1.67,0.61,0.0,0.0,0.0,6.67,3.33,0.0
t-j.ru,2,2,141000,70500.0,0,0,1,1,1,1,1,2,1,0.21,1.67,0.6,0.0,0.0,3.33,3.33,1.67,1.67
malyish.ru,2,2,130000,65000.0,0,1,1,0,2,0,1,2,2,0.21,1.67,0.56,0.0,3.33,3.33,0.0,3.33,0.0
sigma-med.ru,1,1,130000,130000.0,1,0,0,0,1,0,0,1,1,0.1,0.83,0.56,3.33,0.0,0.0,0.0,1.67,0.0
journal.citilink.ru,2,2,127000,63500.0,0,0,0,2,2,0,0,1,2,0.21,1.67,0.54,0.0,0.0,0.0,6.67,3.33,0.0
parikmag-pm.ru,2,2,126000,63000.0,0,0,0,2,0,2,0,0,1,0.21,1.67,0.54,0.0,0.0,0.0,6.67,0.0,3.33
yokosun.ru,3,3,124000,41333.33,0,0,0,3,3,0,1,2,1,0.31,2.5,0.53,0.0,0.0,0.0,10.0,5.0,0.0
lovular.ru,3,2,123000,41000.0,0,0,0,3,3,0,0,3,2,0.31,1.67,0.53,0.0,0.0,0.0,10.0,5.0,0.0
hair-everyday.com,3,3,118000,39333.33,0,0,3,0,0,3,1,1,1,0.31,2.5,0.51,0.0,0.0,10.0,0.0,0.0,5.0
lenta.ru,2,2,119000,59500.0,0,0,0,2,0,2,0,0,2,0.21,1.67,0.51,0.0,0.0,0.0,6.67,0.0,3.33
sibcirulnik.ru,2,2,119000,59500.0,0,0,1,1,0,2,0,0,1,0.21,1.67,0.51,0.0,0.0,3.33,3.33,0.0,3.33
vkusvill.ru,2,2,119000,59500.0,0,0,0,2,0,2,0,0,2,0.21,1.67,0.51,0.0,0.0,0.0,6.67,0.0,3.33
zakon.kz,1,1,120000,120000.0,0,0,0,1,1,0,1,1,1,0.1,0.83,0.51,0.0,0.0,0.0,3.33,1.67,0.0
huggies.kg,3,2,115000,38333.33,0,0,0,3,3,0,0,3,1,0.31,1.67,0.49,0.0,0.0,0.0,10.0,5.0,0.0
probolezny.ru,2,2,114000,57000.0,0,0,0,2,0,2,0,0,1,0.21,1.67,0.49,0.0,0.0,0.0,6.67,0.0,3.33
repeat.ru,2,2,114000,57000.0,0,0,1,1,0,2,0,1,1,0.21,1.67,0.49,0.0,0.0,3.33,3.33,0.0,3.33
fue-clinic.ru,2,2,108000,54000.0,0,0,0,2,0,2,0,1,2,0.21,1.67,0.46,0.0,0.0,0.0,6.67,0.0,3.33
health.mail.ru,2,2,107000,53500.0,0,0,1,1,1,1,1,2,2,0.21,1.67,0.46,0.0,0.0,3.33,3.33,1.67,1.67
hfe-hfe.ru,2,2,108000,54000.0,0,0,0,2,0,2,0,1,2,0.21,1.67,0.46,0.0,0.0,0.0,6.67,0.0,3.33
sprosivracha.com,2,2,108000,54000.0,0,0,0,2,1,1,0,0,0,0.21,1.67,0.46,0.0,0.0,0.0,6.67,1.67,1.67
scent.ru,2,1,108000,54000.0,0,0,2,0,0,2,2,2,2,0.21,0.83,0.46,0.0,0.0,6.67,0.0,0.0,3.33
aptechestvo.ru,2,2,105000,52500.0,0,0,0,2,2,0,1,1,2,0.21,1.67,0.45,0.0,0.0,0.0,6.67,3.33,0.0
glamourdusk.com,2,2,105000,52500.0,0,0,2,0,0,2,1,1,1,0.21,1.67,0.45,0.0,0.0,6.67,0.0,0.0,3.33
id-clinic.ru,2,2,105000,52500.0,0,0,1,1,0,2,1,1,1,0.21,1.67,0.45,0.0,0.0,3.33,3.33,0.0,3.33
momirussia.ru,2,2,99000,49500.0,0,0,0,2,2,0,0,2,0,0.21,1.67,0.42,0.0,0.0,0.0,6.67,3.33,0.0
brandformyson.ru,1,1,98000,98000.0,0,1,0,0,1,0,0,1,1,0.1,0.83,0.42,0.0,3.33,0.0,0.0,1.67,0.0
organicmama.ru,1,1,98000,98000.0,0,1,0,0,1,0,0,1,1,0.1,0.83,0.42,0.0,3.33,0.0,0.0,1.67,0.0
pro-palliativ.ru,1,1,98000,98000.0,0,0,0,1,1,0,0,0,1,0.1,0.83,0.42,0.0,0.0,0.0,3.33,1.67,0.0
moy-lvenok.ru,1,1,95000,95000.0,1,0,0,0,1,0,0,1,1,0.1,0.83,0.41,3.33,0.0,0.0,0.0,1.67,0.0
akrasoty.ru,2,2,91000,45500.0,0,0,1,1,0,2,0,1,1,0.21,1.67,0.39,0.0,0.0,3.33,3.33,0.0,3.33
youtube.com,2,2,92000,46000.0,0,0,2,0,2,0,1,2,1,0.21,1.67,0.39,0.0,0.0,6.67,0.0,3.33,0.0
kosmetika-proff.ru,2,2,86000,43000.0,0,0,2,0,0,2,0,0,0,0.21,1.67,0.37,0.0,0.0,6.67,0.0,0.0,3.33
mag.103.by,2,2,86000,43000.0,0,0,0,2,2,0,0,1,0,0.21,1.67,0.37,0.0,0.0,0.0,6.67,3.33,0.0
cgemo-serpuhov.ru,2,1,86000,43000.0,0,0,0,2,2,0,0,0,0,0.21,0.83,0.37,0.0,0.0,0.0,6.67,3.33,0.0
goondiaper.com,1,1,87000,87000.0,1,0,0,0,1,0,0,1,1,0.1,0.83,0.37,3.33,0.0,0.0,0.0,1.67,0.0
apteka74.ru,1,1,76000,76000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.33,0.0,0.0,3.33,0.0,0.0,1.67
doktorvolos.ru,1,1,76000,76000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.33,0.0,0.0,0.0,3.33,0.0,1.67
hc-russia.ru,1,1,76000,76000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.33,0.0,0.0,0.0,3.33,0.0,1.67
nbcnews.com,1,1,76000,76000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.33,0.0,0.0,3.33,0.0,0.0,1.67
proaist.ru,1,1,76000,76000.0,0,0,1,0,1,0,0,0,0,0.1,0.83,0.33,0.0,0.0,3.33,0.0,1.67,0.0
yokito.ru,1,1,76000,76000.0,0,0,1,0,1,0,0,0,0,0.1,0.83,0.33,0.0,0.0,3.33,0.0,1.67,0.0
13 источников,1,1,72000,72000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.31,0.0,0.0,0.0,3.33,1.67,0.0
beautyservice.ru,1,1,72000,72000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.31,0.0,0.0,0.0,3.33,0.0,1.67
bezlekarstv.ru,1,1,72000,72000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.31,0.0,0.0,0.0,3.33,0.0,1.67
blog.stud-country.ru,1,1,72000,72000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.31,0.0,0.0,0.0,3.33,0.0,1.67
fanebeauty.com,1,1,72000,72000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.31,0.0,0.0,0.0,3.33,0.0,1.67
hair-boutique.ru,1,1,72000,72000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.31,0.0,0.0,0.0,3.33,0.0,1.67
magazin-kosmetiki-kapriz.ru,1,1,72000,72000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.31,0.0,0.0,0.0,3.33,0.0,1.67
artemka37.ru,1,1,67000,67000.0,0,0,0,1,1,0,0,0,1,0.1,0.83,0.29,0.0,0.0,0.0,3.33,1.67,0.0
diapazon.kz,1,1,67000,67000.0,0,0,0,1,1,0,0,0,1,0.1,0.83,0.29,0.0,0.0,0.0,3.33,1.67,0.0
diffen.com,1,1,67000,67000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.29,0.0,0.0,3.33,0.0,1.67,0.0
femmenordic.com,1,1,67000,67000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.29,0.0,0.0,3.33,0.0,0.0,1.67
happybaby.ru,1,1,67000,67000.0,0,0,0,1,1,0,0,0,1,0.1,0.83,0.29,0.0,0.0,0.0,3.33,1.67,0.0
liberica.by,1,1,67000,67000.0,0,0,0,1,1,0,0,0,1,0.1,0.83,0.29,0.0,0.0,0.0,3.33,1.67,0.0
lrcgyn.ru,1,1,67000,67000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.29,0.0,0.0,0.0,3.33,0.0,1.67
mykunder.com,1,1,67000,67000.0,0,0,0,1,1,0,0,0,1,0.1,0.83,0.29,0.0,0.0,0.0,3.33,1.67,0.0
nizoral.ru,1,1,67000,67000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.29,0.0,0.0,3.33,0.0,0.0,1.67
proficosmetics.ru,1,1,67000,67000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.29,0.0,0.0,0.0,3.33,0.0,1.67
clinikadoctordent.com,1,1,65000,65000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.28,0.0,0.0,0.0,3.33,0.0,1.67
nestlebaby.ru,1,1,65000,65000.0,0,0,0,1,1,0,0,1,0,0.1,0.83,0.28,0.0,0.0,0.0,3.33,1.67,0.0
woman.ru,1,1,65000,65000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.28,0.0,0.0,0.0,3.33,0.0,1.67
yapokupayu.ru,1,1,65000,65000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.28,0.0,0.0,0.0,3.33,0.0,1.67
audiomed.ru,1,1,56000,56000.0,0,0,0,1,1,0,0,1,0,0.1,0.83,0.24,0.0,0.0,0.0,3.33,1.67,0.0
bgbsmp.by,1,1,56000,56000.0,0,0,0,1,1,0,0,1,0,0.1,0.83,0.24,0.0,0.0,0.0,3.33,1.67,0.0
dzhmao.ru,1,1,56000,56000.0,0,0,0,1,1,0,0,1,0,0.1,0.83,0.24,0.0,0.0,0.0,3.33,1.67,0.0
lisa.ru,1,1,56000,56000.0,0,0,0,1,1,0,0,1,0,0.1,0.83,0.24,0.0,0.0,0.0,3.33,1.67,0.0
burdastyle.ru,1,1,54000,54000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.23,0.0,0.0,0.0,3.33,0.0,1.67
catalog.onliner.by,1,1,54000,54000.0,0,0,1,0,1,0,0,1,1,0.1,0.83,0.23,0.0,0.0,3.33,0.0,1.67,0.0
paradpomad.ru,1,1,54000,54000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.23,0.0,0.0,0.0,3.33,0.0,1.67
the-challenger.ru,1,1,54000,54000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.23,0.0,0.0,0.0,3.33,0.0,1.67
theblueprint.ru,1,1,54000,54000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.23,0.0,0.0,3.33,0.0,0.0,1.67
vfokuse.mail.ru,1,1,54000,54000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.23,0.0,0.0,0.0,3.33,0.0,1.67
ru.ruwiki.ru,1,1,51000,51000.0,0,0,1,0,1,0,1,0,1,0.1,0.83,0.22,0.0,0.0,3.33,0.0,1.67,0.0
sportmaster.ru,1,1,51000,51000.0,0,0,1,0,1,0,1,0,1,0.1,0.83,0.22,0.0,0.0,3.33,0.0,1.67,0.0
tersportspb.ru,1,1,51000,51000.0,0,0,1,0,1,0,1,0,1,0.1,0.83,0.22,0.0,0.0,3.33,0.0,1.67,0.0
beautyinsider.ru,1,1,48000,48000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.21,0.0,0.0,0.0,3.33,0.0,1.67
bytovaya-himiya.ru,1,1,48000,48000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.21,0.0,0.0,3.33,0.0,0.0,1.67
i-gency.ru,1,1,48000,48000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.21,0.0,0.0,3.33,0.0,0.0,1.67
lofficiel.directory,1,1,48000,48000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.21,0.0,0.0,3.33,0.0,0.0,1.67
pokupella.ru,1,1,48000,48000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.21,0.0,0.0,3.33,0.0,0.0,1.67
sovsekretno.ru,1,1,48000,48000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.21,0.0,0.0,0.0,3.33,0.0,1.67
relationshipblog.co.in,1,1,45000,45000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.19,0.0,0.0,3.33,0.0,0.0,1.67
aromacode.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
beautery.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
boucle-style.com,1,1,41000,41000.0,0,0,1,0,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
byrdie.com,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
c9m.ru,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
cgemo-istra.ru,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
evitastore.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
forma.eapteka.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
gkeratin.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
hair.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
kosmetika.moscow,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
lianakl.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
medlen.by,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
my7days.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
news.rambler.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
pro-cosmetik.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
ryazan.kp.ru,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
sergeenko.by,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
vichy.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
vitaexpress.ru,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
alerana.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
avshop.ru,1,1,38000,38000.0,0,0,1,0,1,0,1,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,1.67,0.0
cosmall.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
iris56.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
kz.amway.com,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
livemaster.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
mayadioro.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
otrazhenie-clinic.ru,1,1,38000,38000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.16,0.0,0.0,0.0,3.33,0.0,1.67
panda-babyclub.kz,1,1,38000,38000.0,0,0,0,1,1,0,1,1,1,0.1,0.83,0.16,0.0,0.0,0.0,3.33,1.67,0.0
salonclever.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
sunmag.me,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
yandex.ru,1,1,38000,38000.0,0,0,1,0,1,0,1,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,1.67,0.0
rskrf.ru,1,1,35000,35000.0,0,0,1,0,0,1,0,1,1,0.1,0.83,0.15,0.0,0.0,3.33,0.0,0.0,1.67
koshmau.livejournal.com,1,1,32000,32000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,1.67,0.0
nn.uteka.ru,1,1,32000,32000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,0.0,1.67
q.yandex.ru,1,1,32000,32000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,1.67,0.0
ru.besuperhygiene.com,1,1,32000,32000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,1.67,0.0
spb.akusherstvo.ru,1,1,32000,32000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,1.67,0.0
nevozrast.ru,1,1,31000,31000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.13,0.0,0.0,0.0,3.33,1.67,0.0
homesklad.ru,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
kz.huggies.com,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
mammysun.ru,1,1,27000,27000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.12,0.0,0.0,3.33,0.0,1.67,0.0
napkin.tkat.ru,1,1,29000,29000.0,0,0,1,0,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,3.33,0.0,1.67,0.0
novochag.ru,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
promkod.ru,1,1,27000,27000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.12,0.0,0.0,3.33,0.0,1.67,0.0
t.me,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
yarportal.ru,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
